Term,Adjusted P-value,P-value,Odds Ratio,Combined Score,Overlap,Genes,library,set_label
Prostate cancer,0.6177887021094152,0.173076990474233,1.885014046304369,3.306349984697026,4/97,CDK2;MAPK1;CTNNB1;ATF4,KEGG_2021_Human,PBMC_down
Tight junction,0.6319570103313658,0.1795052986544346,1.614718374371929,2.7733604360719832,6/169,PPP2CB;RAP1A;PCNA;ARPC2;HSPA4;ACTR3B,KEGG_2021_Human,PBMC_down
Protein processing in endoplasmic reticulum,0.6319889797971683,0.1861943121869889,1.594981489099136,2.6811071997658016,6/171,ATXN3;MBTPS1;SEC24B;WFS1;UBE2D2;ATF4,KEGG_2021_Human,PBMC_down
AGE-RAGE signaling pathway in diabetic complications,0.6319889797971683,0.1864383044868916,1.8258258258258255,3.066757297939973,4/100,COL4A1;COL4A4;MAPK1;TGFBR2,KEGG_2021_Human,PBMC_down
DNA replication,0.6319889797971683,0.1926256109566985,2.5742548140332366,4.239815218669316,2/36,PCNA;RPA4,KEGG_2021_Human,PBMC_down
Starch and sucrose metabolism,0.6319889797971683,0.1926256109566985,2.5742548140332366,4.239815218669316,2/36,AMY2B;GCK,KEGG_2021_Human,PBMC_down
Rap1 signaling pathway,0.6319889797971683,0.1929663823222055,1.512940808507311,2.4891496617643467,7/210,RAP1A;CSF1;CTNND1;RAPGEF1;CTNNB1;MAPK1;MAP2K6,KEGG_2021_Human,PBMC_down
Fc epsilon RI signaling pathway,0.6319889797971683,0.1953939659786405,2.021123595505618,3.299964125241749,3/68,MAPK1;GAB2;MAP2K6,KEGG_2021_Human,PBMC_down
Thyroid cancer,0.6319889797971683,0.2008049064907527,2.500576553491352,4.014479253216433,2/37,MAPK1;CTNNB1,KEGG_2021_Human,PBMC_down
Renal cell carcinoma,0.6319889797971683,0.2011394214673528,1.9903983656792643,3.192115256490126,3/69,RAP1A;RAPGEF1;MAPK1,KEGG_2021_Human,PBMC_down
C-type lectin receptor signaling pathway,0.6319889797971683,0.2047464768239077,1.7524324324324323,2.779327632222405,4/104,CASP8;NFATC3;MAPK1;BCL10,KEGG_2021_Human,PBMC_down
T cell receptor signaling pathway,0.6319889797971683,0.2047464768239077,1.7524324324324323,2.779327632222405,4/104,PTPRC;NFATC3;MAPK1;BCL10,KEGG_2021_Human,PBMC_down
Allograft rejection,0.6319889797971683,0.2090235925399194,2.430991529646238,3.805250854962118,2/38,CD86;HLA-DOB,KEGG_2021_Human,PBMC_down
Primary immunodeficiency,0.6319889797971683,0.2090235925399194,2.430991529646238,3.805250854962118,2/38,DCLRE1C;PTPRC,KEGG_2021_Human,PBMC_down
Pathways in cancer,0.6389061328629876,0.2137973829813888,1.277995595896665,1.9715976994659423,15/531,CTBP1;CXCR4;TGFBR2;FRAT1;RASSF1;CASP8;COL4A1;COL4A4;CDK2;RARA;CTNNB1;MAPK1;IL6ST;IL6R;BIRC3,KEGG_2021_Human,PBMC_down
Human T-cell leukemia virus 1 infection,0.6482555265341213,0.2214636498612982,1.4480383348307877,2.1829131733281355,7/219,VAC14;CDK2;NFATC3;MAPK1;HLA-DOB;ATF4;TGFBR2,KEGG_2021_Human,PBMC_down
Inositol phosphate metabolism,0.6482555265341213,0.2244931589943066,1.8762760834670944,2.8029876872524824,3/73,INPP4A;INPP5B;PIP5K1B,KEGG_2021_Human,PBMC_down
p53 signaling pathway,0.6482555265341213,0.2244931589943066,1.8762760834670944,2.8029876872524824,3/73,CASP8;CDK2;MDM4,KEGG_2021_Human,PBMC_down
Bladder cancer,0.667796428228543,0.2338586713640812,2.2436472346786247,3.2601053964713254,2/41,RASSF1;MAPK1,KEGG_2021_Human,PBMC_down
Graft-versus-host disease,0.6831123042350394,0.2421787725591316,2.1874439461883406,3.101968533692869,2/42,CD86;HLA-DOB,KEGG_2021_Human,PBMC_down
Spliceosome,0.6831123042350394,0.2465921685885011,1.51062504864949,2.114904444184469,5/150,HNRNPM;FUS;SYF2;SF3B6;SF3B1,KEGG_2021_Human,PBMC_down
Type I diabetes mellitus,0.6831123042350394,0.2505113396261487,2.133982281526851,2.953967302473209,2/43,CD86;HLA-DOB,KEGG_2021_Human,PBMC_down
Leukocyte transendothelial migration,0.6831123042350394,0.25253815251512,1.5923013923013922,2.191313938595252,4/114,RAP1A;CTNND1;CXCR4;CTNNB1,KEGG_2021_Human,PBMC_down
Antigen processing and presentation,0.6831123042350394,0.2543606993644272,1.750741573033708,2.396768615314768,3/78,CTSL;HSPA4;HLA-DOB,KEGG_2021_Human,PBMC_down
Non-homologous end-joining,0.6831123042350394,0.2551703548893532,3.6428038777032063,4.97542859366364,1/13,DCLRE1C,KEGG_2021_Human,PBMC_down
Chemokine signaling pathway,0.6866916361621209,0.2615514192922223,1.4133703109035178,1.895505385756898,6/192,RAP1A;CCL5;ELMO1;CCL3;CXCR4;MAPK1,KEGG_2021_Human,PBMC_down
Coronavirus disease,0.6866916361621209,0.2649896890220127,1.3634567901234569,1.8107583735948585,7/232,RPS15A;RPL32;RPL13;MAPK1;RPL8;IL6ST;IL6R,KEGG_2021_Human,PBMC_down
Ras signaling pathway,0.6866916361621209,0.2649896890220127,1.3634567901234569,1.8107583735948585,7/232,RASSF1;RAP1A;CSF1;BDNF;RASA2;MAPK1;GAB2,KEGG_2021_Human,PBMC_down
ABC transporters,0.6866916361621209,0.2671951891681404,2.03451871936594,2.6851086561030884,2/45,ABCA5;ABCB4,KEGG_2021_Human,PBMC_down
Type II diabetes mellitus,0.6985710774306323,0.2755376347120053,1.9881777415409705,2.562822850897984,2/46,MAPK1;GCK,KEGG_2021_Human,PBMC_down
Sphingolipid signaling pathway,0.6985710774306323,0.2772538906534027,1.5226792009400705,1.9533257990392243,4/119,PPP2CB;TRADD;MAPK1;GAB2,KEGG_2021_Human,PBMC_down
Necroptosis,0.7109141900753727,0.2849189166449937,1.421682155316467,1.784993943100731,5/159,CASP8;TRADD;GLUL;PPIA;BIRC3,KEGG_2021_Human,PBMC_down
Epstein-Barr virus infection,0.7329549480274758,0.2999360776954153,1.3405669960291808,1.6142918764711518,6/202,CASP8;PSMC4;TRADD;CDK2;HLA-DOB;MAP2K6,KEGG_2021_Human,PBMC_down
Cocaine addiction,0.7329549480274758,0.3005180463376749,1.8609865470852016,2.237366372481309,2/49,BDNF;ATF4,KEGG_2021_Human,PBMC_down
Hippo signaling pathway,0.7329549480274758,0.3023082665016048,1.3854044632397062,1.6573704872373929,5/163,PPP2CB;RASSF1;CTNNB1;TGFBR2;BIRC3,KEGG_2021_Human,PBMC_down
Cysteine and methionine metabolism,0.7417371905665893,0.3088166513253893,1.8221225710014948,2.141007759001082,2/50,DNMT3B;MAT2B,KEGG_2021_Human,PBMC_down
Nitrogen metabolism,0.7538898774264603,0.3197431775855415,2.7315436241610738,3.11460758667369,1/17,GLUL,KEGG_2021_Human,PBMC_down
Phenylalanine metabolism,0.7538898774264603,0.3197431775855415,2.7315436241610738,3.11460758667369,1/17,GLYAT,KEGG_2021_Human,PBMC_down
Herpes simplex virus 1 infection,0.7618648298919388,0.3260900050121139,1.1748832800094795,1.316552875601425,13/498,ZNF782;TNFSF14;TRADD;ZNF33A;CASP8;ZNF519;CCL5;ZNF605;ZNF623;ZNF136;HLA-DOB;ZNF169;BIRC3,KEGG_2021_Human,PBMC_down
Autoimmune thyroid disease,0.7686912890329063,0.3335798645787254,1.714675107711246,1.8824954501672435,2/53,CD86;HLA-DOB,KEGG_2021_Human,PBMC_down
Fatty acid biosynthesis,0.7686912890329063,0.3349938691505272,2.5707329911830503,2.811464265016947,1/18,ACSL6,KEGG_2021_Human,PBMC_down
Influenza A,0.7747740019757016,0.3419492744685236,1.310133682972655,1.4058951181209074,5/172,CASP8;TRADD;CCL5;MAPK1;HLA-DOB,KEGG_2021_Human,PBMC_down
GnRH signaling pathway,0.7747740019757016,0.346113072876979,1.4578277153558052,1.5467402735936846,3/93,MAPK1;ATF4;MAP2K6,KEGG_2021_Human,PBMC_down
IL-17 signaling pathway,0.7747740019757016,0.3522464895631035,1.441733547351525,1.504339520444976,3/94,CASP8;TRADD;MAPK1,KEGG_2021_Human,PBMC_down
cAMP signaling pathway,0.7747740019757016,0.3551988620265992,1.2502908855850032,1.2941479286448538,6/216,HCAR2;RAP1A;EDN3;BDNF;CAMK4;MAPK1,KEGG_2021_Human,PBMC_down
Regulation of actin cytoskeleton,0.7747740019757016,0.3631749040580188,1.2383676257150176,1.254306322798622,6/218,ARPC2;LIMK2;CXCR4;MAPK1;PIP5K1B;ACTR3B,KEGG_2021_Human,PBMC_down
Legionellosis,0.7747740019757016,0.3661760589140727,1.5896453322462292,1.597022917495293,2/57,CASP8;HSF1,KEGG_2021_Human,PBMC_down
Estrogen signaling pathway,0.7747740019757016,0.368378566541899,1.3153830522251575,1.3135995981997115,4/137,RARA;MAPK1;EBAG9;ATF4,KEGG_2021_Human,PBMC_down
Endometrial cancer,0.7747740019757016,0.3742319992964726,1.5611787315823191,1.5344503445989746,2/58,MAPK1;CTNNB1,KEGG_2021_Human,PBMC_down
Glycerophospholipid metabolism,0.7747740019757016,0.3766987492076355,1.3807451212300417,1.3480345577873687,3/98,GPAT4;PEMT;CEPT1,KEGG_2021_Human,PBMC_down
Tuberculosis,0.7747740019757016,0.3774836215104607,1.2497258948726218,1.2175180815350444,5/180,CASP8;TRADD;MAPK1;BCL10;HLA-DOB,KEGG_2021_Human,PBMC_down
Fluid shear stress and atherosclerosis,0.7747740019757016,0.3785516039727026,1.2957624290957623,1.2587073519117045,4/139,CTSL;CTNNB1;ACVR2A;MAP2K6,KEGG_2021_Human,PBMC_down
Measles,0.7747740019757016,0.3785516039727026,1.2957624290957623,1.2587073519117045,4/139,CASP8;CSNK2A1;TRADD;CDK2,KEGG_2021_Human,PBMC_down
NOD-like receptor signaling pathway,0.7747740019757016,0.3819288568466426,1.2425610506874616,1.1959910135435403,5/181,CASP8;CCL5;CASP4;MAPK1;BIRC3,KEGG_2021_Human,PBMC_down
Axon guidance,0.7747740019757016,0.3863729428259114,1.2354771651936591,1.1748797317969777,5/182,ABLIM1;LIMK2;NFATC3;CXCR4;MAPK1,KEGG_2021_Human,PBMC_down
Long-term depression,0.7747740019757016,0.3902157242749633,1.5071903510128344,1.4183498501785097,2/60,PPP2CB;MAPK1,KEGG_2021_Human,PBMC_down
Arginine biosynthesis,0.7747740019757016,0.3926603412014608,2.08064344305955,1.9450069473387548,1/22,GLUL,KEGG_2021_Human,PBMC_down
Melanogenesis,0.7747740019757016,0.3949152273056833,1.3382710387525796,1.2433664125565802,3/101,MC1R;MAPK1;CTNNB1,KEGG_2021_Human,PBMC_down
Glycerolipid metabolism,0.7747740019757016,0.3981393061968164,1.4815687466747738,1.3644556551234557,2/61,GPAT4;AKR1A1,KEGG_2021_Human,PBMC_down
Longevity regulating pathway,0.7747740019757016,0.4009573331008623,1.3246850527749403,1.2106300122698197,3/102,CAMK4;EHMT1;ATF4,KEGG_2021_Human,PBMC_down
Alcoholism,0.7747740019757016,0.4041267662692198,1.20792437299677,1.094411700110523,5/186,BDNF;CAMK4;MAPK1;HDAC8;ATF4,KEGG_2021_Human,PBMC_down
Mannose type O-glycan biosynthesis,0.7747740019757016,0.4062797059963483,1.985967053081147,1.7887871874279455,1/23,B4GAT1,KEGG_2021_Human,PBMC_down
Proximal tubule bicarbonate reclamation,0.7747740019757016,0.4062797059963483,1.985967053081147,1.7887871874279455,1/23,SLC25A10,KEGG_2021_Human,PBMC_down
Protein digestion and absorption,0.7747740019757016,0.4069824523996876,1.311370786516854,1.1789029405488676,3/103,COL4A1;COL4A4;SLC16A10,KEGG_2021_Human,PBMC_down
Inflammatory bowel disease,0.8002781458217934,0.4293346469359997,1.3872161719695353,1.1729170775036162,2/65,RORA;HLA-DOB,KEGG_2021_Human,PBMC_down
Phagosome,0.8002781458217934,0.4440119210837193,1.181154127100073,0.958983604051054,4/152,TUBB6;CTSL;SFTPD;HLA-DOB,KEGG_2021_Human,PBMC_down
Acute myeloid leukemia,0.8002781458217934,0.4446099504179606,1.3443946188340807,1.0897096751083686,2/67,RARA;MAPK1,KEGG_2021_Human,PBMC_down
Glycolysis / Gluconeogenesis,0.8002781458217934,0.4446099504179606,1.3443946188340807,1.0897096751083686,2/67,AKR1A1;GCK,KEGG_2021_Human,PBMC_down
Alzheimer disease,0.8002781458217934,0.4452025675105553,1.0929384965831437,0.8844341303480407,9/369,FRAT1;TUBB6;CASP8;CSNK2A1;CSF1;PSMC4;CTNNB1;MAPK1;ATF4,KEGG_2021_Human,PBMC_down
Maturity onset diabetes of the young,0.8002781458217934,0.4453364041261052,1.7473825503355704,1.4135019853458175,1/26,GCK,KEGG_2021_Human,PBMC_down
Oxytocin signaling pathway,0.8002781458217934,0.4539194087890027,1.1652852852852853,0.9203838145687584,4/154,NPR2;CAMK4;NFATC3;MAPK1,KEGG_2021_Human,PBMC_down
